name,first,second,third,forth,fifth,sixth,seventh,eighth
ave_d_delta,177144.77551,368828.061224,315441.122449,244133.816327,135459.734694,59261.7959184,155529.816327,232969.612245
ave_d_theta,50115.3265306,44381.6326531,47709.8163265,45103.4285714,25483.5306122,25137.755102,46273.1836735,72690.6122449
ave_d_lowalpha,15408.2040816,12821.3469388,13524.8979592,11273.2040816,12230.9183673,7307.42857143,9228.10204082,9789.87755102
ave_d_highalpha,9412.85714286,17235.5510204,26528.8367347,36366.9795918,33483.8979592,25720.1428571,17039.2040816,12531.5306122
ave_d_lowbeta,5660.63265306,8542.30612245,9085.28571429,9093.95918367,6558.30612245,6065.32653061,6100.63265306,4849.20408163
ave_d_highbeta,6783.85714286,6844.0,8540.02040816,9074.63265306,8177.24489796,8514.2244898,6325.0,6100.42857143
ave_d_lowgamma,3644.73469388,3462.89795918,4661.95918367,4376.46938776,3760.42857143,3348.95918367,3314.63265306,2988.59183673
ave_d_midgamma,3233.02040816,3082.0,3734.36734694,3184.51020408,2904.34693878,2333.91836735,2348.24489796,1771.55102041
ave_e_delta,310063.215686,323954.72549,185497.901961,106703.117647,58262.7058824,67541.2941176,175267.745098,222095.215686
ave_e_theta,56510.5882353,54101.0392157,33884.1176471,39975.6078431,14330.5098039,25084.3921569,49528.6470588,46813.2156863
ave_e_lowalpha,10424.1960784,12107.1960784,11986.7058824,11904.254902,9081.39215686,8677.41176471,11410.5098039,8965.43137255
ave_e_highalpha,12265.0196078,17728.6470588,32346.2941176,36018.7058824,28939.1568627,20285.2156863,14617.8823529,11385.6470588
ave_e_lowbeta,5685.17647059,9041.54901961,6396.84313725,6372.37254902,5412.01960784,6411.54901961,6518.76470588,3656.66666667
ave_e_highbeta,5253.58823529,6588.19607843,7956.82352941,6364.01960784,6504.37254902,7558.21568627,7214.7254902,4561.49019608
ave_e_lowgamma,3615.0,3637.45098039,6349.58823529,3501.80392157,2853.84313725,3708.82352941,3090.29411765,2001.45098039
ave_e_midgamma,2036.92156863,3333.29411765,5116.62745098,2731.09803922,2107.15686275,2814.21568627,2163.1372549,1348.2745098
